Date,Order_ID,Product,Category,Region,Quantity,Price,Salesperson
2026-01-02,ORD001,Laptop,Electronics,Karachi,2,85000,Ali
2026-01-03,ORD002,Mouse,Accessories,Lahore,5,2500,Ahmed
2026-01-05,ORD003,Keyboard,Accessories,Islamabad,3,4500,Sara
2026-01-08,ORD004,Monitor,Electronics,Karachi,2,32000,Usman
2026-01-12,ORD005,Headphones,Accessories,Hyderabad,4,6500,Ayesha
2026-01-15,ORD006,Laptop,Electronics,Lahore,1,85000,Ali
2026-02-02,ORD007,Mouse,Accessories,Karachi,8,2500,Sara
2026-02-07,ORD008,Monitor,Electronics,Islamabad,3,32000,Ahmed
2026-02-11,ORD009,Keyboard,Accessories,Hyderabad,6,4500,Usman
2026-02-18,ORD010,Laptop,Electronics,Karachi,2,85000,Ayesha
2026-03-03,ORD011,Headphones,Accessories,Lahore,7,6500,Ali
2026-03-09,ORD012,Monitor,Electronics,Karachi,1,32000,Ahmed
2026-03-14,ORD013,Mouse,Accessories,Islamabad,10,2500,Sara
2026-03-20,ORD014,Laptop,Electronics,Hyderabad,1,85000,Usman
2026-04-04,ORD015,Keyboard,Accessories,Karachi,5,4500,Ayesha
2026-04-10,ORD016,Monitor,Electronics,Lahore,2,32000,Ali
2026-04-17,ORD017,Headphones,Accessories,Islamabad,6,6500,Ahmed
2026-05-01,ORD018,Laptop,Electronics,Karachi,3,85000,Sara
2026-05-08,ORD019,Mouse,Accessories,Hyderabad,12,2500,Usman
2026-05-19,ORD020,Keyboard,Accessories,Lahore,7,4500,Ayesha
2026-06-03,ORD021,Monitor,Electronics,Karachi,2,32000,Ali
2026-06-11,ORD022,Headphones,Accessories,Islamabad,5,6500,Ahmed
2026-06-21,ORD023,Laptop,Electronics,Lahore,2,85000,Sara
2026-07-05,ORD024,Mouse,Accessories,Karachi,9,2500,Usman
2026-07-12,ORD025,Keyboard,Accessories,Hyderabad,8,4500,Ayesha
2026-07-25,ORD026,Monitor,Electronics,Islamabad,3,32000,Ali
2026-08-02,ORD027,Headphones,Accessories,Karachi,6,6500,Ahmed
2026-08-15,ORD028,Laptop,Electronics,Hyderabad,1,85000,Sara
2026-08-22,ORD029,Mouse,Accessories,Lahore,11,2500,Usman
2026-09-01,ORD030,Keyboard,Accessories,Karachi,6,4500,Ayesha
2026-09-05,ORD031,Monitor,Electronics,Lahore,2,32000,Ali
2026-09-10,ORD032,Headphones,Accessories,Islamabad,8,6500,Ahmed
2026-09-15,ORD033,Laptop,Electronics,Karachi,2,85000,Sara
2026-09-20,ORD034,Mouse,Accessories,Hyderabad,10,2500,Usman
2026-09-22,ORD035,Keyboard,Accessories,Lahore,5,4500,Ayesha
